food,unit,kcal,protein,carb,fat,source
冰淇淋粉(香草),100 g,430.0,15.9,65.3,11.7,TFDA
冰糖,100 g,387.0,,99.9,,TFDA
冰花,100 g,7.0,0.8,1.0,0.1,TFDA
"冷凍,水晶餃",100 g,190.0,2.8,36.8,3.5,TFDA
冷凍冬菜蝦仁餛飩,100 g,191.0,9.1,24.5,6.3,TFDA
冷凍叉燒包,100 g,266.0,8.8,47.0,4.8,TFDA
冷凍叉燒包子,100 g,267.0,7.1,46.0,6.1,TFDA
冷凍可樂餅(奶汁),100 g,114.0,3.6,19.8,2.3,TFDA
冷凍咕咾肉,100 g,184.0,6.4,18.3,9.5,TFDA
冷凍小香腸,100 g,249.0,14.8,7.4,17.8,TFDA
冷凍帶殼花生(熟),100 g,344.0,17.2,13.3,27.4,TFDA
冷凍干貝酥,100 g,146.0,8.3,27.7,0.2,TFDA
冷凍披薩(黑胡椒火腿),100 g,210.0,9.3,27.7,6.9,TFDA
冷凍文蛤丸,100 g,211.0,16.2,15.8,9.2,TFDA
冷凍旗魚丸,100 g,160.0,12.8,12.0,6.7,TFDA
冷凍旗魚塊,100 g,178.0,15.3,14.7,6.5,TFDA
冷凍春捲,100 g,272.0,5.1,31.5,13.9,TFDA
冷凍木耳,100 g,51.0,0.9,12.4,0.1,TFDA
冷凍毛豆仁,100 g,135.0,12.5,9.8,6.1,TFDA
冷凍水晶包,100 g,211.0,4.8,30.4,7.8,TFDA
冷凍洋菇,100 g,39.0,3.8,4.3,1.5,TFDA
冷凍洋蔥圈,100 g,281.0,4.0,41.4,11.0,TFDA
冷凍火腿炒飯,100 g,189.0,5.0,29.7,5.6,TFDA
冷凍烏龍麵,100 g,129.0,3.4,28.2,0.3,TFDA
冷凍烤雞翅,100 g,217.0,18.8,3.6,14.2,TFDA
冷凍燒賣,100 g,188.0,9.9,15.3,9.7,TFDA
冷凍燕餃,100 g,321.0,12.8,14.5,23.6,TFDA
冷凍牛肉包子,100 g,269.0,10.8,46.1,4.6,TFDA
冷凍牛肉水餃,100 g,215.0,8.9,23.1,9.7,TFDA
冷凍牛肉漢堡肉,100 g,249.0,14.4,6.3,18.5,TFDA
冷凍玉米粒,100 g,174.0,3.1,22.5,8.2,TFDA
冷凍珍珠丸,100 g,225.0,9.5,20.9,11.5,TFDA
冷凍甘薯條,100 g,182.0,1.8,29.0,6.5,TFDA
冷凍甘藍,100 g,20.0,1.3,4.2,0.1,TFDA
冷凍白饅頭,100 g,279.0,7.4,57.0,2.4,TFDA
冷凍筒仔米糕,100 g,212.0,6.5,33.6,5.8,TFDA
冷凍素菜包子,100 g,234.0,8.6,41.4,3.8,TFDA
冷凍素雞塊,100 g,206.0,14.2,19.0,8.1,TFDA
冷凍素食水餃,100 g,175.0,8.7,25.8,4.1,TFDA
冷凍素食熟水餃,100 g,209.0,7.2,32.9,5.4,TFDA
冷凍胡蘿蔔,100 g,13.0,0.5,3.0,0.1,TFDA
冷凍芋泥包,100 g,263.0,6.6,51.1,3.6,TFDA
冷凍芋頭塊,100 g,147.0,2.2,24.9,4.3,TFDA
冷凍芝麻包,100 g,341.0,7.2,51.7,11.7,TFDA
冷凍芝麻湯圓,100 g,352.0,4.8,46.7,16.3,TFDA
冷凍花枝丸,100 g,166.0,12.7,13.0,7.0,TFDA
冷凍花枝塊,100 g,180.0,11.3,17.0,7.5,TFDA
冷凍花枝排,100 g,187.0,5.5,24.9,7.3,TFDA
冷凍花枝漿,100 g,227.0,11.2,17.1,12.6,TFDA
冷凍花枝羹,100 g,126.0,11.4,9.4,4.7,TFDA
冷凍花枝餃,100 g,177.0,12.4,19.2,5.6,TFDA
冷凍花椰菜,100 g,21.0,1.3,4.5,0.1,TFDA
冷凍花生湯圓,100 g,350.0,5.2,47.1,15.6,TFDA
冷凍荔枝,100 g,28.0,0.4,7.2,0.1,TFDA
冷凍菜肉餛飩,100 g,236.0,9.1,13.3,16.3,TFDA
冷凍菜豆(莢),100 g,57.0,3.4,10.8,0.1,TFDA
冷凍菠菜,100 g,17.0,2.1,2.9,0.0,TFDA
冷凍蓮蓉包,100 g,292.0,7.9,52.8,5.5,TFDA
冷凍蔥油餅,100 g,258.0,9.1,48.5,3.1,TFDA
冷凍虱目魚丸,100 g,206.0,13.7,11.0,11.9,TFDA
冷凍蚵捲,100 g,213.0,6.9,7.0,17.5,TFDA
冷凍蛋餃,100 g,183.0,12.1,2.1,14.1,TFDA
冷凍蛋餅皮,100 g,231.0,5.7,43.7,3.7,TFDA
冷凍蝦丸,100 g,123.0,10.8,14.7,2.3,TFDA
冷凍蝦仁炒飯,100 g,148.0,4.7,24.6,3.4,TFDA
冷凍蝦捲,100 g,156.0,10.3,16.0,5.7,TFDA
冷凍蝦餃,100 g,273.0,11.4,13.5,19.3,TFDA
冷凍蝦餅,100 g,127.0,9.6,17.3,2.1,TFDA
冷凍蟹味棒,100 g,118.0,9.3,18.6,0.7,TFDA
冷凍豆沙包,100 g,247.0,7.4,51.8,1.1,TFDA
冷凍豆腐,100 g,131.0,12.9,3.9,7.1,TFDA
冷凍豌豆仁,100 g,96.0,6.1,17.1,0.6,TFDA
冷凍豬肉包子,100 g,266.0,7.6,38.2,9.2,TFDA
冷凍豬肉水餃,100 g,208.0,8.1,22.1,9.7,TFDA
冷凍豬肉湯包,100 g,235.0,10.1,16.3,14.3,TFDA
冷凍豬肉湯圓,100 g,281.0,6.5,36.6,12.1,TFDA
冷凍豬肉熟水餃,100 g,235.0,7.2,28.9,10.1,TFDA
冷凍豬肉蟹黃水餃,100 g,223.0,7.8,26.0,9.8,TFDA
冷凍豬肉韭菜水餃,100 g,229.0,8.4,23.0,11.5,TFDA
冷凍豬肉餛飩,100 g,240.0,11.1,20.5,12.6,TFDA
冷凍貢丸,100 g,244.0,16.6,0.0,20.3,TFDA
冷凍酸菜焢肉包子,100 g,301.0,8.6,37.2,13.1,TFDA
冷凍銀絲卷(奶黃),100 g,283.0,8.9,54.5,3.3,TFDA
冷凍雞塊,100 g,228.0,15.3,12.6,12.9,TFDA
冷凍雞肉丸,100 g,202.0,10.5,12.3,12.3,TFDA
冷凍雪螺餃,100 g,204.0,11.6,16.7,10.0,TFDA
冷凍青花菜,100 g,25.0,2.5,4.4,0.2,TFDA
冷凍香菇雞肉水餃,100 g,221.0,9.5,22.7,10.2,TFDA
冷凍香菇餃,100 g,233.0,12.3,11.5,15.3,TFDA
冷凍馬拉糕,100 g,320.0,7.1,44.0,12.9,TFDA
冷凍馬蹄條,100 g,194.0,4.2,40.1,1.9,TFDA
冷凍馬鈴薯條,100 g,151.0,2.2,25.5,4.5,TFDA
冷凍魚卵卷,100 g,115.0,12.9,15.5,0.2,TFDA
冷凍魚捲,100 g,126.0,13.8,17.1,0.3,TFDA
冷凍魚餃,100 g,277.0,12.5,12.9,19.5,TFDA
冷凍魷魚圈,100 g,143.0,15.7,19.2,0.4,TFDA
冷凍鮪排,100 g,143.0,13.4,20.4,0.9,TFDA
冷凍鮪魚水餃,100 g,196.0,9.0,20.8,8.5,TFDA
冷凍鱈魚丸,100 g,99.0,8.5,10.7,2.4,TFDA
冷凍麻竹筍,100 g,17.0,0.9,3.8,0.0,TFDA
冷藏堅果饅頭,100 g,307.0,9.6,47.3,8.8,TFDA
冷藏寧波年糕,100 g,220.0,3.9,49.7,0.6,TFDA
冷藏廣式芋頭粿,100 g,109.0,2.1,21.5,1.6,TFDA
冷藏廣式蘿蔔糕,100 g,111.0,2.2,20.4,2.3,TFDA
冷藏甜年糕,100 g,242.0,2.3,57.2,0.4,TFDA
凱撒沙拉醬,100 g,337.0,1.4,17.3,29.1,TFDA
凱特芒果,100 g,50.0,1.1,12.5,0.2,TFDA
刀削麵,100 g,267.0,8.4,56.2,0.9,TFDA
切片乾酪,100 g,309.0,18.3,5.9,23.7,TFDA
切片乾酪(低脂),100 g,241.0,21.7,8.8,13.0,TFDA
切片火腿(牛肉),100 g,121.0,15.9,9.4,2.2,TFDA
切片火腿(豬肉),100 g,147.0,16.5,9.0,4.9,TFDA
切片火腿(雞肉),100 g,148.0,15.3,10.0,5.3,TFDA
初卵雞蛋,100 g,136.0,12.3,1.4,9.2,TFDA
刨絲乾酪,100 g,323.0,25.1,4.4,22.6,TFDA
刺鯧(去皮),100 g,95.0,18.8,0.1,1.6,TFDA
刺鯧(含皮),100 g,155.0,17.8,0.0,8.7,TFDA
前鱗笛鯛,100 g,101.0,22.0,0.9,0.8,TFDA
加州紅李(台灣),100 g,45.0,0.3,10.6,0.6,TFDA
加州紅李(進口),100 g,60.0,0.8,15.3,0.3,TFDA
